YEAR,STATE_NAME,COMMODITY_DESC,STATISTICCAT_DESC,UNIT_DESC,total_value
1978,"US TOTAL",CHICKENS,"CONDEMNED, POST-MORTEM","PCT OF LB CERTIFIED & POST-MORTEM CONDEMNED",2
1978,"US TOTAL",CHICKENS,PRODUCTION,LB,508
1979,FLORIDA,CHICKENS,"EGGS SET",EGGS,127
1979,ILLINOIS,CHICKENS,"INVENTORY, AVG",HEAD,167
1979,ILLINOIS,CHICKENS,"RATE OF LAY","EGGS / LAYER",2660
1979,KENTUCKY,CHICKENS,"INVENTORY, AVG",HEAD,250
1979,KENTUCKY,CHICKENS,"RATE OF LAY","EGGS / LAYER",465
1979,MINNESOTA,CHICKENS,"INVENTORY, AVG",HEAD,110
1979,MINNESOTA,CHICKENS,"RATE OF LAY","EGGS / LAYER",1416
1979,PENNSYLVANIA,CHICKENS,"INVENTORY, AVG",HEAD,474
1979,PENNSYLVANIA,CHICKENS,PRODUCTION,HEAD,6
1979,TEXAS,CHICKENS,PRODUCTION,HEAD,356
1979,"US TOTAL",CHICKENS,"CONDEMNED, POST-MORTEM","LB, DRESSED BASIS",32
1979,"WEST VIRGINIA",CHICKENS,PLACEMENTS,HEAD,19
1980,ARKANSAS,CHICKENS,"EGGS SET",EGGS,856
1980,ILLINOIS,CHICKENS,"INVENTORY, AVG",HEAD,821
1980,ILLINOIS,CHICKENS,"RATE OF LAY","EGGS / LAYER",2404
1980,KENTUCKY,CHICKENS,"INVENTORY, AVG",HEAD,62
1980,KENTUCKY,CHICKENS,"RATE OF LAY","EGGS / LAYER",228
1980,MINNESOTA,CHICKENS,"INVENTORY, AVG",HEAD,2745
1980,MINNESOTA,CHICKENS,"RATE OF LAY","EGGS / LAYER",1818
1980,PENNSYLVANIA,CHICKENS,"INVENTORY, AVG",HEAD,146
1980,PENNSYLVANIA,CHICKENS,PRODUCTION,HEAD,73
1980,TEXAS,CHICKENS,PRODUCTION,HEAD,141
1980,"US TOTAL",CHICKENS,"CONDEMNED, ANTE-MORTEM","LB, LIVE BASIS",60
1981,,CHICKENS,PLACEMENTS,HEAD,41
1981,ALABAMA,CHICKENS,PRODUCTION,HEAD,737
1981,ILLINOIS,CHICKENS,"INVENTORY, AVG",HEAD,74
1981,ILLINOIS,CHICKENS,"RATE OF LAY","EGGS / LAYER",730
1981,KENTUCKY,CHICKENS,"RATE OF LAY","EGGS / LAYER",240
1981,MINNESOTA,CHICKENS,"INVENTORY, AVG",HEAD,778
1981,MINNESOTA,CHICKENS,"RATE OF LAY","EGGS / LAYER",691
1981,PENNSYLVANIA,CHICKENS,"INVENTORY, AVG",HEAD,1060
1981,PENNSYLVANIA,CHICKENS,PRODUCTION,HEAD,231
1981,TEXAS,CHICKENS,PRODUCTION,HEAD,154
1981,"US TOTAL",CHICKENS,PRODUCTION,LB,11
1981,"US TOTAL",CHICKENS,SLAUGHTERED,HEAD,4
1981,"US TOTAL",CHICKENS,SLAUGHTERED,"LB / HEAD, LIVE BASIS",4.01
1981,VIRGINIA,CHICKENS,"EGGS SET",EGGS,202
1982,ALABAMA,CHICKENS,PRODUCTION,HEAD,187
1982,DELAWARE,CHICKENS,PLACEMENTS,HEAD,188
1982,ILLINOIS,CHICKENS,"INVENTORY, AVG",HEAD,428
1982,ILLINOIS,CHICKENS,"RATE OF LAY","EGGS / LAYER",1193
1982,KENTUCKY,CHICKENS,"INVENTORY, AVG",HEAD,51
1982,KENTUCKY,CHICKENS,"RATE OF LAY","EGGS / LAYER",235
1982,MINNESOTA,CHICKENS,"INVENTORY, AVG",HEAD,232
1982,MINNESOTA,CHICKENS,"RATE OF LAY","EGGS / LAYER",1416
1982,PENNSYLVANIA,CHICKENS,"INVENTORY, AVG",HEAD,1220
1982,PENNSYLVANIA,CHICKENS,PRODUCTION,HEAD,392
1982,TEXAS,CHICKENS,PRODUCTION,HEAD,710
1982,"US TOTAL",CHICKENS,PRODUCTION,LB,1
1983,,CHICKENS,PLACEMENTS,HEAD,210
1983,ALABAMA,CHICKENS,PRODUCTION,HEAD,1254
1983,DELAWARE,CHICKENS,PLACEMENTS,HEAD,190
1983,ILLINOIS,CHICKENS,"INVENTORY, AVG",HEAD,77
1983,ILLINOIS,CHICKENS,"RATE OF LAY","EGGS / LAYER",2190
1983,KENTUCKY,CHICKENS,"INVENTORY, AVG",HEAD,860
1983,MINNESOTA,CHICKENS,"INVENTORY, AVG",HEAD,825
1983,MINNESOTA,CHICKENS,"RATE OF LAY","EGGS / LAYER",1706
1983,PENNSYLVANIA,CHICKENS,"INVENTORY, AVG",HEAD,15
1983,TEXAS,CHICKENS,PRODUCTION,HEAD,20
1983,"US TOTAL",CHICKENS,"CONDEMNED, ANTE-MORTEM","LB, LIVE BASIS",48
1983,"US TOTAL",CHICKENS,"CONDEMNED, POST-MORTEM","PCT OF LB CERTIFIED & POST-MORTEM CONDEMNED",1.55
1983,"US TOTAL",CHICKENS,PRODUCTION,LB,1
1983,"WEST VIRGINIA",CHICKENS,"EGGS SET",EGGS,0
1984,,CHICKENS,PLACEMENTS,HEAD,4
1984,ALABAMA,CHICKENS,PRODUCTION,HEAD,1116
1984,ARKANSAS,CHICKENS,"EGGS SET",EGGS,960
1984,MINNESOTA,CHICKENS,"INVENTORY, AVG",HEAD,1565
1984,MINNESOTA,CHICKENS,"RATE OF LAY","EGGS / LAYER",1847
1984,PENNSYLVANIA,CHICKENS,"INVENTORY, AVG",HEAD,438
1984,PENNSYLVANIA,CHICKENS,PRODUCTION,HEAD,865
1984,TEXAS,CHICKENS,PLACEMENTS,HEAD,207
1984,TEXAS,CHICKENS,PRODUCTION,HEAD,260
1984,"US TOTAL",CHICKENS,"CONDEMNED, POST-MORTEM","PCT OF LB CERTIFIED & POST-MORTEM CONDEMNED",3.97
1985,ALABAMA,CHICKENS,PRODUCTION,HEAD,465
1985,KENTUCKY,CHICKENS,"INVENTORY, AVG",HEAD,25
1985,KENTUCKY,CHICKENS,"RATE OF LAY","EGGS / LAYER",240
1985,MARYLAND,CHICKENS,"EGGS SET",EGGS,431
1985,MINNESOTA,CHICKENS,"INVENTORY, AVG",HEAD,100
1985,MINNESOTA,CHICKENS,"RATE OF LAY","EGGS / LAYER",1161
1985,PENNSYLVANIA,CHICKENS,"INVENTORY, AVG",HEAD,136
1985,PENNSYLVANIA,CHICKENS,PRODUCTION,HEAD,60
1985,TEXAS,CHICKENS,PRODUCTION,HEAD,122
1985,"US TOTAL",CHICKENS,"CONDEMNED, ANTE-MORTEM","LB, LIVE BASIS",10
1985,"US TOTAL",CHICKENS,PRODUCTION,LB,13
1985,"US TOTAL",CHICKENS,SLAUGHTERED,"LB / HEAD, LIVE BASIS",4.53
1986,ALABAMA,CHICKENS,PRODUCTION,HEAD,13
1986,KENTUCKY,CHICKENS,"INVENTORY, AVG",HEAD,75
1986,MINNESOTA,CHICKENS,"INVENTORY, AVG",HEAD,729
1986,MINNESOTA,CHICKENS,"RATE OF LAY","EGGS / LAYER",1881
1986,PENNSYLVANIA,CHICKENS,"INVENTORY, AVG",HEAD,1171
1986,PENNSYLVANIA,CHICKENS,PRODUCTION,HEAD,7
1986,TEXAS,CHICKENS,PRODUCTION,HEAD,1
1986,"US TOTAL",CHICKENS,"CONDEMNED, ANTE-MORTEM","LB, LIVE BASIS",71
1987,ALABAMA,CHICKENS,PRODUCTION,HEAD,1
1987,KENTUCKY,CHICKENS,"RATE OF LAY","EGGS / LAYER",250
1987,MINNESOTA,CHICKENS,"INVENTORY, AVG",HEAD,217
1987,MINNESOTA,CHICKENS,"RATE OF LAY","EGGS / LAYER",496
1987,PENNSYLVANIA,CHICKENS,"INVENTORY, AVG",HEAD,749
1987,"US TOTAL",CHICKENS,PRODUCTION,LB,29
1987,"US TOTAL",CHICKENS,SLAUGHTERED,HEAD,5
1987,"US TOTAL",CHICKENS,SLAUGHTERED,"LB, LIVE BASIS",21
1988,ALABAMA,CHICKENS,PRODUCTION,HEAD,1286
1988,KENTUCKY,CHICKENS,"INVENTORY, AVG",HEAD,62
1988,KENTUCKY,CHICKENS,"RATE OF LAY","EGGS / LAYER",248
1988,MINNESOTA,CHICKENS,"INVENTORY, AVG",HEAD,24
1988,MINNESOTA,CHICKENS,"RATE OF LAY","EGGS / LAYER",1988
1988,PENNSYLVANIA,CHICKENS,"INVENTORY, AVG",HEAD,99
1988,PENNSYLVANIA,CHICKENS,PRODUCTION,HEAD,12
1988,TEXAS,CHICKENS,PRODUCTION,HEAD,71
1988,"US TOTAL",CHICKENS,PRODUCTION,LB,17
1989,,CHICKENS,PLACEMENTS,HEAD,5
1989,ALABAMA,CHICKENS,PRODUCTION,HEAD,5
1989,KENTUCKY,CHICKENS,"INVENTORY, AVG",HEAD,495
1989,KENTUCKY,CHICKENS,"RATE OF LAY","EGGS / LAYER",403
1989,MINNESOTA,CHICKENS,"INVENTORY, AVG",HEAD,1022
1989,MINNESOTA,CHICKENS,"RATE OF LAY","EGGS / LAYER",1748
1989,PENNSYLVANIA,CHICKENS,"INVENTORY, AVG",HEAD,970
1989,PENNSYLVANIA,CHICKENS,PRODUCTION,HEAD,11
1989,TEXAS,CHICKENS,PRODUCTION,HEAD,75
1990,ALABAMA,CHICKENS,PRODUCTION,HEAD,120
1990,KENTUCKY,CHICKENS,"RATE OF LAY","EGGS / LAYER",449
1990,MARYLAND,CHICKENS,PLACEMENTS,HEAD,284
1990,MINNESOTA,CHICKENS,"INVENTORY, AVG",HEAD,189
1990,MINNESOTA,CHICKENS,"RATE OF LAY","EGGS / LAYER",1032
1990,MISSISSIPPI,CHICKENS,PLACEMENTS,HEAD,430
1990,PENNSYLVANIA,CHICKENS,"INVENTORY, AVG",HEAD,331
1990,TEXAS,CHICKENS,PRODUCTION,HEAD,6
1990,"US TOTAL",CHICKENS,PRODUCTION,LB,18
1990,"US TOTAL",CHICKENS,SLAUGHTERED,HEAD,6
1991,,CHICKENS,PLACEMENTS,HEAD,5
1991,ALABAMA,CHICKENS,PRODUCTION,HEAD,471
1991,KENTUCKY,CHICKENS,"INVENTORY, AVG",HEAD,238
1991,KENTUCKY,CHICKENS,"RATE OF LAY","EGGS / LAYER",221
1991,MINNESOTA,CHICKENS,"INVENTORY, AVG",HEAD,834
1991,PENNSYLVANIA,CHICKENS,"INVENTORY, AVG",HEAD,301
1991,PENNSYLVANIA,CHICKENS,PRODUCTION,HEAD,48
1991,"SOUTH CAROLINA",CHICKENS,"INVENTORY, AVG",HEAD,1338
1991,"SOUTH CAROLINA",CHICKENS,"RATE OF LAY","EGGS / LAYER",261
1991,TEXAS,CHICKENS,PRODUCTION,HEAD,16
1991,"US TOTAL",CHICKENS,"CONDEMNED, POST-MORTEM","LB, DRESSED BASIS",470
1991,VIRGINIA,CHICKENS,PLACEMENTS,HEAD,229
1992,ALABAMA,CHICKENS,PRODUCTION,HEAD,120
1992,KENTUCKY,CHICKENS,"INVENTORY, AVG",HEAD,250
1992,MINNESOTA,CHICKENS,"INVENTORY, AVG",HEAD,558
1992,MINNESOTA,CHICKENS,"RATE OF LAY","EGGS / LAYER",263
1992,PENNSYLVANIA,CHICKENS,"INVENTORY, AVG",HEAD,341
1992,"SOUTH CAROLINA",CHICKENS,"INVENTORY, AVG",HEAD,1343
1992,"US TOTAL",CHICKENS,PRODUCTION,LB,1
1992,VIRGINIA,CHICKENS,PLACEMENTS,HEAD,247
1993,ALABAMA,CHICKENS,PRODUCTION,HEAD,261
1993,KENTUCKY,CHICKENS,"INVENTORY, AVG",HEAD,44
1993,MINNESOTA,CHICKENS,"RATE OF LAY","EGGS / LAYER",249
1993,PENNSYLVANIA,CHICKENS,"INVENTORY, AVG",HEAD,54
1993,"SOUTH CAROLINA",CHICKENS,"INVENTORY, AVG",HEAD,1231
1993,"SOUTH CAROLINA",CHICKENS,"RATE OF LAY","EGGS / LAYER",497
1993,"US TOTAL",CHICKENS,"CONDEMNED, ANTE-MORTEM","LB, LIVE BASIS",12
1994,,CHICKENS,PLACEMENTS,HEAD,6
1994,ALABAMA,CHICKENS,PRODUCTION,HEAD,113
1994,MINNESOTA,CHICKENS,"INVENTORY, AVG",HEAD,989
1994,MINNESOTA,CHICKENS,"RATE OF LAY","EGGS / LAYER",520
1994,PENNSYLVANIA,CHICKENS,"INVENTORY, AVG",HEAD,1
1994,PENNSYLVANIA,CHICKENS,PRODUCTION,HEAD,41
1994,"SOUTH CAROLINA",CHICKENS,"INVENTORY, AVG",HEAD,58
1994,"SOUTH CAROLINA",CHICKENS,PLACEMENTS,HEAD,158
1994,"SOUTH CAROLINA",CHICKENS,"RATE OF LAY","EGGS / LAYER",1150
1995,,CHICKENS,PLACEMENTS,HEAD,6
1995,ALABAMA,CHICKENS,PRODUCTION,HEAD,7
1995,PENNSYLVANIA,CHICKENS,PRODUCTION,HEAD,7
1995,"SOUTH CAROLINA",CHICKENS,"INVENTORY, AVG",HEAD,1980
1995,"SOUTH CAROLINA",CHICKENS,PLACEMENTS,HEAD,174
1995,"SOUTH CAROLINA",CHICKENS,PRODUCTION,HEAD,928
1995,"SOUTH CAROLINA",CHICKENS,"RATE OF LAY","EGGS / LAYER",250
1995,TEXAS,CHICKENS,PRODUCTION,HEAD,63
1995,"US TOTAL",CHICKENS,"CONDEMNED, POST-MORTEM","PCT OF LB CERTIFIED & POST-MORTEM CONDEMNED",5.51
1995,"US TOTAL",CHICKENS,PRODUCTION,LB,30
1995,VIRGINIA,CHICKENS,PLACEMENTS,HEAD,272
1996,ALABAMA,CHICKENS,PRODUCTION,HEAD,64
1996,GEORGIA,CHICKENS,"EGGS SET",EGGS,1
1996,MINNESOTA,CHICKENS,"INVENTORY, AVG",HEAD,559
1996,MINNESOTA,CHICKENS,"RATE OF LAY","EGGS / LAYER",786
1996,PENNSYLVANIA,CHICKENS,"INVENTORY, AVG",HEAD,550
1996,PENNSYLVANIA,CHICKENS,PRODUCTION,HEAD,4
1996,"SOUTH CAROLINA",CHICKENS,"INVENTORY, AVG",HEAD,20
1996,"SOUTH CAROLINA",CHICKENS,PRODUCTION,HEAD,177
1996,"SOUTH CAROLINA",CHICKENS,"RATE OF LAY","EGGS / LAYER",1225
1996,"US TOTAL",CHICKENS,PRODUCTION,LB,486
1997,ALABAMA,CHICKENS,PRODUCTION,HEAD,4
1997,ALABAMA,CHICKENS,SALES,HEAD,2804
1997,ALABAMA,CHICKENS,SALES,OPERATIONS,240
1997,ALASKA,CHICKENS,SALES,OPERATIONS,1
1997,ARIZONA,CHICKENS,SALES,OPERATIONS,26
1997,ARKANSAS,CHICKENS,SALES,HEAD,1543
1997,ARKANSAS,CHICKENS,SALES,OPERATIONS,522
1997,CALIFORNIA,CHICKENS,SALES,HEAD,2283
1997,CALIFORNIA,CHICKENS,SALES,OPERATIONS,259
1997,COLORADO,CHICKENS,SALES,HEAD,98
1997,COLORADO,CHICKENS,SALES,OPERATIONS,185
1997,CONNECTICUT,CHICKENS,SALES,HEAD,350
1997,DELAWARE,CHICKENS,SALES,HEAD,101
1997,DELAWARE,CHICKENS,SALES,OPERATIONS,165
1997,FLORIDA,CHICKENS,SALES,HEAD,634
1997,FLORIDA,CHICKENS,SALES,OPERATIONS,536
1997,GEORGIA,CHICKENS,SALES,HEAD,1011
1997,GEORGIA,CHICKENS,SALES,OPERATIONS,718
1997,HAWAII,CHICKENS,SALES,HEAD,224
1997,HAWAII,CHICKENS,SALES,OPERATIONS,6
1997,IDAHO,CHICKENS,SALES,OPERATIONS,6
1997,ILLINOIS,CHICKENS,SALES,OPERATIONS,40
1997,INDIANA,CHICKENS,SALES,HEAD,118
1997,INDIANA,CHICKENS,SALES,OPERATIONS,120
1997,IOWA,CHICKENS,SALES,HEAD,274
1997,IOWA,CHICKENS,SALES,OPERATIONS,674
1997,KANSAS,CHICKENS,SALES,HEAD,326
1997,KANSAS,CHICKENS,SALES,OPERATIONS,29
1997,KENTUCKY,CHICKENS,SALES,OPERATIONS,50
1997,LOUISIANA,CHICKENS,SALES,HEAD,201
