YEAR,STATE_NAME,COMMODITY_DESC,STATISTICCAT_DESC,UNIT_DESC,total_cattle_value
1932,IDAHO,CATTLE,"INVENTORY, AVG",HEAD,190
1932,NEBRASKA,CATTLE,"CALF CROP",HEAD,165
1932,VERMONT,CATTLE,"INVENTORY, AVG",HEAD,279
1933,MAINE,CATTLE,"INVENTORY, AVG",HEAD,146
1933,NEBRASKA,CATTLE,"CALF CROP",HEAD,87
1933,OKLAHOMA,CATTLE,"INVENTORY, AVG",HEAD,771
1933,TEXAS,CATTLE,"INVENTORY, AVG",HEAD,1
1933,VERMONT,CATTLE,"INVENTORY, AVG",HEAD,280
1934,NEBRASKA,CATTLE,"CALF CROP",HEAD,121
1934,"SOUTH CAROLINA",CATTLE,"INVENTORY, AVG",HEAD,175
1934,VERMONT,CATTLE,"INVENTORY, AVG",HEAD,272
1935,IOWA,CATTLE,"INVENTORY, AVG",HEAD,1
1935,NEBRASKA,CATTLE,"CALF CROP",HEAD,88
1935,TEXAS,CATTLE,"INVENTORY, AVG",HEAD,1
1935,"WEST VIRGINIA",CATTLE,"INVENTORY, AVG",HEAD,245
1935,WISCONSIN,CATTLE,"INVENTORY, AVG",HEAD,2
1936,NEBRASKA,CATTLE,"CALF CROP",HEAD,72
1936,TENNESSEE,CATTLE,"INVENTORY, AVG",HEAD,530
1936,WYOMING,CATTLE,"INVENTORY, AVG",HEAD,67
1937,MARYLAND,CATTLE,"INVENTORY, AVG",HEAD,182
1937,NEBRASKA,CATTLE,"CALF CROP",HEAD,75
1937,"SOUTH CAROLINA",CATTLE,"INVENTORY, AVG",HEAD,160
1937,TEXAS,CATTLE,"INVENTORY, AVG",HEAD,1
1938,COLORADO,CATTLE,"INVENTORY, AVG",HEAD,216
1938,NEBRASKA,CATTLE,"CALF CROP",HEAD,61
1938,OHIO,CATTLE,"INVENTORY, AVG",HEAD,983
1938,OREGON,CATTLE,"INVENTORY, AVG",HEAD,250
1938,WISCONSIN,CATTLE,"INVENTORY, AVG",HEAD,2
1939,MICHIGAN,CATTLE,"INVENTORY, AVG",HEAD,890
1939,MINNESOTA,CATTLE,"INVENTORY, AVG",HEAD,340
1939,MISSISSIPPI,CATTLE,"INVENTORY, AVG",HEAD,485
1939,NEBRASKA,CATTLE,"CALF CROP",HEAD,59
1939,"NEW YORK",CATTLE,"INVENTORY, AVG",HEAD,1
1939,WISCONSIN,CATTLE,"INVENTORY, AVG",HEAD,2
1940,ALABAMA,CATTLE,"INVENTORY, AVG",HEAD,363
1940,MARYLAND,CATTLE,"INVENTORY, AVG",HEAD,192
1940,MINNESOTA,CATTLE,"INVENTORY, AVG",HEAD,61
1940,NEBRASKA,CATTLE,"CALF CROP",HEAD,477
1940,"NEW MEXICO",CATTLE,"INVENTORY, AVG",HEAD,71
1941,ARIZONA,CATTLE,"INVENTORY, AVG",HEAD,44
1941,MAINE,CATTLE,"INVENTORY, AVG",HEAD,125
1941,MINNESOTA,CATTLE,"INVENTORY, AVG",HEAD,32
1941,NEBRASKA,CATTLE,"CALF CROP",HEAD,80
1941,"NEW MEXICO",CATTLE,"INVENTORY, AVG",HEAD,72
1941,OHIO,CATTLE,"INVENTORY, AVG",HEAD,1
1941,"SOUTH DAKOTA",CATTLE,"INVENTORY, AVG",HEAD,477
1941,VERMONT,CATTLE,"INVENTORY, AVG",HEAD,279
1942,CONNECTICUT,CATTLE,"INVENTORY, AVG",HEAD,117
1942,IDAHO,CATTLE,"INVENTORY, AVG",HEAD,240
1942,LOUISIANA,CATTLE,"INVENTORY, AVG",HEAD,290
1942,MINNESOTA,CATTLE,"INVENTORY, AVG",HEAD,189
1942,NEBRASKA,CATTLE,"CALF CROP",HEAD,128
1942,WISCONSIN,CATTLE,"INVENTORY, AVG",HEAD,2
1943,ALABAMA,CATTLE,"INVENTORY, AVG",HEAD,409
1943,IOWA,CATTLE,"INVENTORY, AVG",HEAD,1
1943,MINNESOTA,CATTLE,"INVENTORY, AVG",HEAD,351
1943,NEBRASKA,CATTLE,"CALF CROP",HEAD,17
1943,UTAH,CATTLE,"INVENTORY, AVG",HEAD,112
1944,ALABAMA,CATTLE,"INVENTORY, AVG",HEAD,416
1944,CALIFORNIA,CATTLE,SLAUGHTERED,HEAD,631
1944,IDAHO,CATTLE,SLAUGHTERED,HEAD,53
1944,KANSAS,CATTLE,"INVENTORY, AVG",HEAD,775
1944,LOUISIANA,CATTLE,SLAUGHTERED,HEAD,120
1944,MAINE,CATTLE,"INVENTORY, AVG",HEAD,127
1944,MINNESOTA,CATTLE,"INVENTORY, AVG",HEAD,153
1944,MISSISSIPPI,CATTLE,SLAUGHTERED,HEAD,61
1944,NEBRASKA,CATTLE,"CALF CROP",HEAD,303
1944,"NEW MEXICO",CATTLE,"INVENTORY, AVG",HEAD,72
1944,"NEW YORK",CATTLE,"INVENTORY, AVG",HEAD,1
1944,OKLAHOMA,CATTLE,"INVENTORY, AVG",HEAD,820
1944,"SOUTH CAROLINA",CATTLE,"INVENTORY, AVG",HEAD,170
1944,WASHINGTON,CATTLE,"INVENTORY, AVG",HEAD,330
1945,ARKANSAS,CATTLE,"INVENTORY, AVG",HEAD,480
1945,IDAHO,CATTLE,SLAUGHTERED,HEAD,65
1945,MINNESOTA,CATTLE,"INVENTORY, AVG",HEAD,633
1945,NEBRASKA,CATTLE,"CALF CROP",HEAD,439
1945,WASHINGTON,CATTLE,SLAUGHTERED,HEAD,324
1946,ALABAMA,CATTLE,SLAUGHTERED,HEAD,130
1946,MINNESOTA,CATTLE,"INVENTORY, AVG",HEAD,260
1946,MINNESOTA,CATTLE,SLAUGHTERED,HEAD,689
1946,NEBRASKA,CATTLE,"CALF CROP",HEAD,58
1946,"NEW MEXICO",CATTLE,SLAUGHTERED,HEAD,49
1946,"NORTH DAKOTA",CATTLE,SLAUGHTERED,HEAD,99
1946,OHIO,CATTLE,SLAUGHTERED,HEAD,1
1946,WYOMING,CATTLE,SLAUGHTERED,HEAD,4
1947,ALABAMA,CATTLE,SLAUGHTERED,"LB / HEAD, LIVE BASIS",274
1947,ARKANSAS,CATTLE,"INVENTORY, AVG",HEAD,420
1947,CALIFORNIA,CATTLE,SLAUGHTERED,HEAD,740
1947,DELAWARE,CATTLE,"INVENTORY, AVG",HEAD,36
1947,FLORIDA,CATTLE,SLAUGHTERED,"LB / HEAD, LIVE BASIS",234
1947,IDAHO,CATTLE,SLAUGHTERED,"LB, LIVE BASIS",4
1947,ILLINOIS,CATTLE,SLAUGHTERED,"LB / HEAD, LIVE BASIS",906
1947,INDIANA,CATTLE,SLAUGHTERED,HEAD,206
1947,IOWA,CATTLE,SLAUGHTERED,"LB, LIVE BASIS",1
1947,KENTUCKY,CATTLE,SLAUGHTERED,"LB, LIVE BASIS",25
1947,LOUISIANA,CATTLE,"INVENTORY, AVG",HEAD,284
1947,LOUISIANA,CATTLE,SLAUGHTERED,HEAD,216
1947,MINNESOTA,CATTLE,"INVENTORY, AVG",HEAD,143
1947,MINNESOTA,CATTLE,SLAUGHTERED,HEAD,1
1947,MISSISSIPPI,CATTLE,SLAUGHTERED,HEAD,103
1947,MISSOURI,CATTLE,SLAUGHTERED,HEAD,924
1947,MONTANA,CATTLE,"INVENTORY, AVG",HEAD,130
1947,NEBRASKA,CATTLE,"CALF CROP",HEAD,46
1947,NEVADA,CATTLE,SLAUGHTERED,"LB / HEAD, LIVE BASIS",1
1947,"NORTH CAROLINA",CATTLE,SLAUGHTERED,"LB / HEAD, LIVE BASIS",767
1947,OHIO,CATTLE,SLAUGHTERED,"LB, LIVE BASIS",65
1947,OREGON,CATTLE,SLAUGHTERED,HEAD,76
1947,"SOUTH CAROLINA",CATTLE,SLAUGHTERED,"LB, LIVE BASIS",9
1947,TENNESSEE,CATTLE,SLAUGHTERED,"LB / HEAD, LIVE BASIS",771
1947,TEXAS,CATTLE,SLAUGHTERED,"LB / HEAD, LIVE BASIS",374
1948,CONNECTICUT,CATTLE,"INVENTORY, AVG",HEAD,108
1948,FLORIDA,CATTLE,SLAUGHTERED,HEAD,226
1948,GEORGIA,CATTLE,SLAUGHTERED,"LB / HEAD, LIVE BASIS",637
1948,IDAHO,CATTLE,"INVENTORY, AVG",HEAD,200
1948,ILLINOIS,CATTLE,"INVENTORY, AVG",HEAD,977
1948,MICHIGAN,CATTLE,SLAUGHTERED,HEAD,671
1948,MINNESOTA,CATTLE,"INVENTORY, AVG",HEAD,50
1948,MISSISSIPPI,CATTLE,SLAUGHTERED,HEAD,76
1948,MONTANA,CATTLE,SLAUGHTERED,HEAD,55
1948,NEBRASKA,CATTLE,"CALF CROP",HEAD,47
1948,"NEW MEXICO",CATTLE,SLAUGHTERED,HEAD,37
1948,"NORTH CAROLINA",CATTLE,SLAUGHTERED,HEAD,126
1948,PENNSYLVANIA,CATTLE,SLAUGHTERED,"LB, LIVE BASIS",111
1948,"SOUTH CAROLINA",CATTLE,SLAUGHTERED,"LB / HEAD, LIVE BASIS",199
1948,UNKNOWN,CATTLE,SLAUGHTERED,HEAD,340
1948,UNKNOWN,CATTLE,SLAUGHTERED,"LB / HEAD, LIVE BASIS",969
1948,UNKNOWN,CATTLE,SLAUGHTERED,"LB, LIVE BASIS",165
1948,VIRGINIA,CATTLE,"INVENTORY, AVG",HEAD,426
1948,VIRGINIA,CATTLE,SLAUGHTERED,"LB, LIVE BASIS",21
1948,"WEST VIRGINIA",CATTLE,"INVENTORY, AVG",HEAD,208
1949,ALABAMA,CATTLE,"INVENTORY, AVG",HEAD,348
1949,CALIFORNIA,CATTLE,SLAUGHTERED,"LB / HEAD, LIVE BASIS",232
1949,FLORIDA,CATTLE,SLAUGHTERED,HEAD,77
1949,GEORGIA,CATTLE,"INVENTORY, AVG",HEAD,320
1949,INDIANA,CATTLE,SLAUGHTERED,"LB / HEAD, LIVE BASIS",202
1949,KANSAS,CATTLE,SLAUGHTERED,"LB / HEAD, LIVE BASIS",286
1949,KENTUCKY,CATTLE,SLAUGHTERED,"LB, LIVE BASIS",155
1949,MICHIGAN,CATTLE,SLAUGHTERED,"LB / HEAD, LIVE BASIS",163
1949,MINNESOTA,CATTLE,"INVENTORY, AVG",HEAD,305
1949,MISSISSIPPI,CATTLE,"INVENTORY, AVG",HEAD,500
1949,MISSOURI,CATTLE,SLAUGHTERED,"LB, LIVE BASIS",719
1949,NEBRASKA,CATTLE,"CALF CROP",HEAD,84
1949,"NEW YORK",CATTLE,SLAUGHTERED,HEAD,466
1949,"NORTH CAROLINA",CATTLE,SLAUGHTERED,"LB / HEAD, LIVE BASIS",164
1949,"NORTH DAKOTA",CATTLE,SLAUGHTERED,"LB, LIVE BASIS",14
1949,OKLAHOMA,CATTLE,SLAUGHTERED,"LB / HEAD, LIVE BASIS",814
1949,OKLAHOMA,CATTLE,SLAUGHTERED,"LB, LIVE BASIS",74
1949,"SOUTH DAKOTA",CATTLE,SLAUGHTERED,"LB, LIVE BASIS",208
1949,WASHINGTON,CATTLE,"INVENTORY, AVG",HEAD,267
1949,"WEST VIRGINIA",CATTLE,"INVENTORY, AVG",HEAD,209
1949,WISCONSIN,CATTLE,SLAUGHTERED,"LB, LIVE BASIS",142
1949,WYOMING,CATTLE,SLAUGHTERED,"LB, LIVE BASIS",590
1950,ARIZONA,CATTLE,SLAUGHTERED,"LB / HEAD, LIVE BASIS",396
1950,GEORGIA,CATTLE,SLAUGHTERED,"LB, LIVE BASIS",39
1950,IOWA,CATTLE,SLAUGHTERED,"LB / HEAD, LIVE BASIS",218
1950,LOUISIANA,CATTLE,SLAUGHTERED,HEAD,147
1950,LOUISIANA,CATTLE,SLAUGHTERED,"LB / HEAD, LIVE BASIS",374
1950,MINNESOTA,CATTLE,"INVENTORY, AVG",HEAD,107
1950,MONTANA,CATTLE,SLAUGHTERED,"LB, LIVE BASIS",3
1950,NEBRASKA,CATTLE,"CALF CROP",HEAD,102
1950,NEBRASKA,CATTLE,SLAUGHTERED,"LB, LIVE BASIS",14
1950,TEXAS,CATTLE,SLAUGHTERED,HEAD,950
1950,VIRGINIA,CATTLE,SLAUGHTERED,"LB / HEAD, LIVE BASIS",907
1950,"WEST VIRGINIA",CATTLE,SLAUGHTERED,"LB, LIVE BASIS",5
1950,WISCONSIN,CATTLE,SLAUGHTERED,"LB / HEAD, LIVE BASIS",128
1951,ARKANSAS,CATTLE,SLAUGHTERED,"LB, LIVE BASIS",43
1951,CALIFORNIA,CATTLE,"INVENTORY, AVG",HEAD,781
1951,FLORIDA,CATTLE,"INVENTORY, AVG",HEAD,139
1951,GEORGIA,CATTLE,SLAUGHTERED,"LB, LIVE BASIS",33
1951,IDAHO,CATTLE,SLAUGHTERED,"LB / HEAD, LIVE BASIS",978
1951,ILLINOIS,CATTLE,SLAUGHTERED,"LB / HEAD, LIVE BASIS",199
1951,KANSAS,CATTLE,"INVENTORY, AVG",HEAD,549
1951,KANSAS,CATTLE,SLAUGHTERED,"LB / HEAD, LIVE BASIS",307
1951,MICHIGAN,CATTLE,SLAUGHTERED,"LB / HEAD, LIVE BASIS",166
1951,MICHIGAN,CATTLE,SLAUGHTERED,"LB, LIVE BASIS",61
1951,MINNESOTA,CATTLE,"INVENTORY, AVG",HEAD,163
1951,MINNESOTA,CATTLE,SLAUGHTERED,"LB, LIVE BASIS",68
1951,NEBRASKA,CATTLE,"CALF CROP",HEAD,139
1951,NEBRASKA,CATTLE,SLAUGHTERED,"LB / HEAD, LIVE BASIS",992
1951,"NEW YORK",CATTLE,SLAUGHTERED,"LB / HEAD, LIVE BASIS",136
1951,"NORTH CAROLINA",CATTLE,SLAUGHTERED,HEAD,94
1951,"NORTH DAKOTA",CATTLE,SLAUGHTERED,HEAD,28
1951,OHIO,CATTLE,SLAUGHTERED,HEAD,259
1951,OHIO,CATTLE,SLAUGHTERED,"LB / HEAD, LIVE BASIS",945
1951,TENNESSEE,CATTLE,SLAUGHTERED,HEAD,285
1951,TENNESSEE,CATTLE,SLAUGHTERED,"LB, LIVE BASIS",229
1951,UNKNOWN,CATTLE,SLAUGHTERED,"LB / HEAD, LIVE BASIS",94
1951,UTAH,CATTLE,SLAUGHTERED,"LB / HEAD, LIVE BASIS",323
1951,WASHINGTON,CATTLE,SLAUGHTERED,"LB, LIVE BASIS",10
1952,CALIFORNIA,CATTLE,SLAUGHTERED,"LB, LIVE BASIS",1
1952,COLORADO,CATTLE,SLAUGHTERED,"LB / HEAD, LIVE BASIS",982
1952,KANSAS,CATTLE,SLAUGHTERED,"LB / HEAD, LIVE BASIS",960
1952,KENTUCKY,CATTLE,SLAUGHTERED,"LB / HEAD, LIVE BASIS",200
1952,MICHIGAN,CATTLE,"INVENTORY, AVG",HEAD,834
1952,MINNESOTA,CATTLE,"INVENTORY, AVG",HEAD,85
1952,MISSISSIPPI,CATTLE,SLAUGHTERED,HEAD,69
1952,NEBRASKA,CATTLE,"CALF CROP",HEAD,96
1952,"NEW JERSEY",CATTLE,"INVENTORY, AVG",HEAD,151
1952,OKLAHOMA,CATTLE,SLAUGHTERED,HEAD,339
1952,VIRGINIA,CATTLE,SLAUGHTERED,"LB / HEAD, LIVE BASIS",939
1952,WISCONSIN,CATTLE,SLAUGHTERED,"LB, LIVE BASIS",569
1953,KENTUCKY,CATTLE,SLAUGHTERED,"LB / HEAD, LIVE BASIS",855
1953,MARYLAND,CATTLE,"INVENTORY, AVG",HEAD,236
1953,MINNESOTA,CATTLE,"INVENTORY, AVG",HEAD,241
1953,MINNESOTA,CATTLE,SLAUGHTERED,"LB, LIVE BASIS",87
1953,MISSISSIPPI,CATTLE,SLAUGHTERED,HEAD,96
1953,MISSOURI,CATTLE,SLAUGHTERED,"LB / HEAD, LIVE BASIS",265
1953,NEBRASKA,CATTLE,"CALF CROP",HEAD,26
1953,"NEW JERSEY",CATTLE,"INVENTORY, AVG",HEAD,152
1953,"NEW MEXICO",CATTLE,"INVENTORY, AVG",HEAD,49
1953,"NORTH DAKOTA",CATTLE,SLAUGHTERED,"LB, LIVE BASIS",6
1953,UNKNOWN,CATTLE,SLAUGHTERED,"LB / HEAD, LIVE BASIS",95
1953,UTAH,CATTLE,SLAUGHTERED,HEAD,15
1953,VIRGINIA,CATTLE,SLAUGHTERED,"LB / HEAD, LIVE BASIS",225
1953,VIRGINIA,CATTLE,SLAUGHTERED,"LB, LIVE BASIS",129
1953,WYOMING,CATTLE,SLAUGHTERED,"LB / HEAD, LIVE BASIS",341
1954,ALABAMA,CATTLE,"INVENTORY, AVG",HEAD,372
1954,ALABAMA,CATTLE,SLAUGHTERED,HEAD,241
1954,ARIZONA,CATTLE,SLAUGHTERED,"LB / HEAD, LIVE BASIS",1279
1954,ARIZONA,CATTLE,SLAUGHTERED,"LB, LIVE BASIS",8
1954,GEORGIA,CATTLE,SLAUGHTERED,"LB, LIVE BASIS",346
1954,ILLINOIS,CATTLE,SLAUGHTERED,HEAD,2
1954,ILLINOIS,CATTLE,SLAUGHTERED,"LB / HEAD, LIVE BASIS",206
1954,LOUISIANA,CATTLE,SLAUGHTERED,"LB / HEAD, LIVE BASIS",713
1954,MICHIGAN,CATTLE,SLAUGHTERED,"LB / HEAD, LIVE BASIS",155
1954,MINNESOTA,CATTLE,"INVENTORY, AVG",HEAD,50
1954,MONTANA,CATTLE,"INVENTORY, AVG",HEAD,103
1954,NEBRASKA,CATTLE,"CALF CROP",HEAD,248
1954,NEBRASKA,CATTLE,PLACEMENTS,HEAD,334
1954,NEVADA,CATTLE,SLAUGHTERED,"LB, LIVE BASIS",23
1954,"NORTH CAROLINA",CATTLE,SLAUGHTERED,"LB, LIVE BASIS",11
1954,"SOUTH DAKOTA",CATTLE,SLAUGHTERED,HEAD,5
1954,UNKNOWN,CATTLE,SLAUGHTERED,"LB / HEAD, LIVE BASIS",93
1954,VIRGINIA,CATTLE,SLAUGHTERED,HEAD,159
1954,WYOMING,CATTLE,SLAUGHTERED,HEAD,16
1954,WYOMING,CATTLE,SLAUGHTERED,"LB, LIVE BASIS",871
1955,ALABAMA,CATTLE,SLAUGHTERED,HEAD,235
1955,ARKANSAS,CATTLE,SLAUGHTERED,"LB, LIVE BASIS",14
1955,COLORADO,CATTLE,SLAUGHTERED,"LB, LIVE BASIS",851
1955,GEORGIA,CATTLE,SLAUGHTERED,"LB, LIVE BASIS",58
1955,IDAHO,CATTLE,SLAUGHTERED,HEAD,22
1955,ILLINOIS,CATTLE,SLAUGHTERED,"LB / HEAD, LIVE BASIS",987
1955,IOWA,CATTLE,SLAUGHTERED,HEAD,1
1955,KENTUCKY,CATTLE,SLAUGHTERED,HEAD,227
1955,MINNESOTA,CATTLE,"INVENTORY, AVG",HEAD,11
1955,MINNESOTA,CATTLE,SLAUGHTERED,HEAD,537
1955,MISSISSIPPI,CATTLE,SLAUGHTERED,"LB, LIVE BASIS",132
1955,NEBRASKA,CATTLE,"CALF CROP",HEAD,259
1955,NEBRASKA,CATTLE,PLACEMENTS,HEAD,328
1955,"NEW JERSEY",CATTLE,SLAUGHTERED,HEAD,320
1955,"NORTH CAROLINA",CATTLE,SLAUGHTERED,HEAD,161
1955,"NORTH CAROLINA",CATTLE,SLAUGHTERED,"LB / HEAD, LIVE BASIS",184
1955,PENNSYLVANIA,CATTLE,SLAUGHTERED,"LB, LIVE BASIS",913
1955,"SOUTH CAROLINA",CATTLE,SLAUGHTERED,HEAD,17
1955,"SOUTH CAROLINA",CATTLE,SLAUGHTERED,"LB, LIVE BASIS",80
1955,"WEST VIRGINIA",CATTLE,SLAUGHTERED,"LB / HEAD, LIVE BASIS",194
1955,"WEST VIRGINIA",CATTLE,SLAUGHTERED,"LB, LIVE BASIS",4
1956,ARIZONA,CATTLE,SLAUGHTERED,HEAD,22
1956,CALIFORNIA,CATTLE,SLAUGHTERED,"LB / HEAD, LIVE BASIS",210
1956,CONNECTICUT,CATTLE,"INVENTORY, AVG",HEAD,107
1956,FLORIDA,CATTLE,SLAUGHTERED,"LB / HEAD, LIVE BASIS",292
1956,GEORGIA,CATTLE,SLAUGHTERED,HEAD,171
1956,INDIANA,CATTLE,"INVENTORY, AVG",HEAD,548
1956,MINNESOTA,CATTLE,"INVENTORY, AVG",HEAD,136
1956,MISSOURI,CATTLE,SLAUGHTERED,HEAD,1
1956,MISSOURI,CATTLE,SLAUGHTERED,"LB, LIVE BASIS",1044
1956,NEBRASKA,CATTLE,"CALF CROP",HEAD,625
1956,NEBRASKA,CATTLE,PLACEMENTS,HEAD,328
1956,"NEW YORK",CATTLE,SLAUGHTERED,HEAD,639
1956,OREGON,CATTLE,SLAUGHTERED,HEAD,307
1956,OREGON,CATTLE,SLAUGHTERED,"LB / HEAD, LIVE BASIS",916
1956,TENNESSEE,CATTLE,SLAUGHTERED,HEAD,395
1957,ARIZONA,CATTLE,SLAUGHTERED,"LB / HEAD, LIVE BASIS",844
1957,COLORADO,CATTLE,SLAUGHTERED,HEAD,857
1957,GEORGIA,CATTLE,SLAUGHTERED,"LB / HEAD, LIVE BASIS",347
1957,IDAHO,CATTLE,SLAUGHTERED,HEAD,166
1957,IOWA,CATTLE,SLAUGHTERED,"LB, LIVE BASIS",118
1957,KANSAS,CATTLE,SLAUGHTERED,HEAD,1
1957,KANSAS,CATTLE,SLAUGHTERED,"LB / HEAD, LIVE BASIS",351
1957,MINNESOTA,CATTLE,"INVENTORY, AVG",HEAD,135
1957,MISSISSIPPI,CATTLE,SLAUGHTERED,"LB, LIVE BASIS",248
1957,MONTANA,CATTLE,SLAUGHTERED,"LB / HEAD, LIVE BASIS",960
1957,NEBRASKA,CATTLE,"CALF CROP",HEAD,73
1957,NEBRASKA,CATTLE,PLACEMENTS,HEAD,613
1957,"NEW MEXICO",CATTLE,SLAUGHTERED,HEAD,70
1957,"NEW MEXICO",CATTLE,SLAUGHTERED,"LB, LIVE BASIS",58
1957,"NORTH CAROLINA",CATTLE,SLAUGHTERED,"LB / HEAD, LIVE BASIS",810
1957,OHIO,CATTLE,"INVENTORY, AVG",HEAD,774
1957,PENNSYLVANIA,CATTLE,SLAUGHTERED,"LB / HEAD, LIVE BASIS",138
1957,UNKNOWN,CATTLE,SLAUGHTERED,HEAD,212
1957,UNKNOWN,CATTLE,SLAUGHTERED,"LB, LIVE BASIS",214
1957,VIRGINIA,CATTLE,SLAUGHTERED,"LB, LIVE BASIS",65
1957,WASHINGTON,CATTLE,SLAUGHTERED,"LB, LIVE BASIS",13
1957,"WEST VIRGINIA",CATTLE,SLAUGHTERED,HEAD,78
1958,ARKANSAS,CATTLE,SLAUGHTERED,"LB / HEAD, LIVE BASIS",770
1958,CALIFORNIA,CATTLE,SLAUGHTERED,"LB / HEAD, LIVE BASIS",200
1958,CALIFORNIA,CATTLE,SLAUGHTERED,"LB, LIVE BASIS",112
1958,FLORIDA,CATTLE,"INVENTORY, AVG",HEAD,189
1958,GEORGIA,CATTLE,SLAUGHTERED,HEAD,119
1958,KANSAS,CATTLE,"INVENTORY, AVG",HEAD,374
1958,KENTUCKY,CATTLE,SLAUGHTERED,HEAD,42
1958,LOUISIANA,CATTLE,"INVENTORY, AVG",HEAD,260
1958,MICHIGAN,CATTLE,SLAUGHTERED,"LB / HEAD, LIVE BASIS",992
1958,MINNESOTA,CATTLE,"INVENTORY, AVG",HEAD,102
1958,MINNESOTA,CATTLE,SLAUGHTERED,"LB, LIVE BASIS",1
1958,MISSISSIPPI,CATTLE,SLAUGHTERED,"LB, LIVE BASIS",47
1958,MONTANA,CATTLE,SLAUGHTERED,"LB / HEAD, LIVE BASIS",977
1958,NEBRASKA,CATTLE,"CALF CROP",HEAD,272
1958,NEBRASKA,CATTLE,PLACEMENTS,HEAD,198
1958,"NORTH CAROLINA",CATTLE,SLAUGHTERED,HEAD,135
1958,PENNSYLVANIA,CATTLE,SLAUGHTERED,"LB, LIVE BASIS",863
1958,"SOUTH CAROLINA",CATTLE,SLAUGHTERED,HEAD,126
1958,"SOUTH CAROLINA",CATTLE,SLAUGHTERED,"LB / HEAD, LIVE BASIS",752
1958,"SOUTH DAKOTA",CATTLE,SLAUGHTERED,"LB / HEAD, LIVE BASIS",1
1958,"SOUTH DAKOTA",CATTLE,SLAUGHTERED,"LB, LIVE BASIS",391
1958,WASHINGTON,CATTLE,SLAUGHTERED,"LB, LIVE BASIS",8
1958,WISCONSIN,CATTLE,"INVENTORY, AVG",HEAD,2
1959,ARIZONA,CATTLE,SLAUGHTERED,"LB / HEAD, LIVE BASIS",479
1959,ARKANSAS,CATTLE,"INVENTORY, AVG",HEAD,232
1959,ARKANSAS,CATTLE,SLAUGHTERED,"LB, LIVE BASIS",10
1959,GEORGIA,CATTLE,"INVENTORY, AVG",HEAD,230
1959,ILLINOIS,CATTLE,SLAUGHTERED,"LB, LIVE BASIS",63
1959,MICHIGAN,CATTLE,SLAUGHTERED,HEAD,407
1959,MINNESOTA,CATTLE,"INVENTORY, AVG",HEAD,312
1959,MONTANA,CATTLE,SLAUGHTERED,HEAD,2
1959,NEBRASKA,CATTLE,"CALF CROP",HEAD,92
1959,NEBRASKA,CATTLE,"INVENTORY, AVG",HEAD,19
1959,NEBRASKA,CATTLE,PLACEMENTS,HEAD,1
1959,"NEW JERSEY",CATTLE,SLAUGHTERED,HEAD,311
1959,OKLAHOMA,CATTLE,SLAUGHTERED,"LB / HEAD, LIVE BASIS",881
1959,OREGON,CATTLE,SLAUGHTERED,"LB / HEAD, LIVE BASIS",293
1959,OREGON,CATTLE,SLAUGHTERED,"LB, LIVE BASIS",229
1959,TENNESSEE,CATTLE,SLAUGHTERED,HEAD,348
